State,Constituency Name,Candidate,Party,Votes Margin,Year
Haryana,Gurgaon,Inderjit Singh Rao,BJP,274722,2014
Karnataka,Dakshina Kannada,Shri Nalin Kumar Kateel,BJP,274621,2019
Rajasthan,Jodhpur,Shri Gajendra Singh Shekhawat,BJP,274440,2019
Madhya Pradesh,Khandwa,Shri Nand Kumar Singh Chouhan,BJP,273343,2019
Uttar Pradesh,Lucknow,Raj Nath Singh,BJP,272749,2014
Rajasthan,Barmer,Manvendra Singh,BJP,271888,2004
Orissa,Jagatsinghpur,Dr. Rajshree Malik,BJD,271655,2019
Maharashtra,Kolhapur,Sanjay Sadashivrao Mandlik,SHS,270568,2019
Gujarat,Sabarkantha,Shri Dipsinh Radhod,BJP,268987,2019
Delhi,West Delhi,Parvesh Sahib Singh Verma,BJP,268586,2014
Uttar Pradesh,Shahjahanpur,Arun Sagar,BJP,268418,2019
Andhra Pradesh,Rajampet,P.V. Midhun Reddy,YSRCP,268284,2019
Bihar,Darbhanga,Gopal Ji Thakur,BJP,267979,2019
Gujarat,Porbandar,Radadiya Vithalbhai Hansrajbhai,BJP,267971,2014
Tamil Nadu,Salem,Pannerselvam.V,AIADMK,267610,2014
Bihar,Supaul,Dileshwar Kamath,JD(U),266853,2019
Uttar Pradesh,Hamirpur,Kunwar Pushpendra Singh Chandel,BJP,266788,2014
Haryana,Sonipat,Kishan Singh Sangwan,BJP,266138,1999
Bihar,Patna Sahib,Shatrughana Sinha,BJP,265805,2014
Uttar Pradesh,Deoria,Kalraj Mishra,BJP,265386,2014
Tamil Nadu,Namakkal,Chinraj A.K.P,DMK,265151,2019
Rajasthan,Bikaner,Shri Arjun Ram Meghwal,BJP,264081,2019
Jharkhand,Palamu,Vishnu Dayal Ram,BJP,263942,2014
Bihar,Purnia,Santosh Kumar,JD(U),263461,2019
Orissa,Puri,Pinaki Misra,BJD,263361,2014
Andhra Pradesh,Peddapalli,G. Venkat Swamy,INC,263135,2004
Tamil Nadu,Chennai South,Thamizhachi Thangapandian,DMK,262223,2019
Uttar Pradesh,Kaiserganj,Brij Bhushan Sharan Singh,BJP,261601,2019
Tamil Nadu,Mayiladuthurai,Ramalingam. S,DMK,261314,2019
Rajasthan,Jalore,Shri Devji Mansingram Patel,BJP,261110,2019
West Bengal,Ghatal,Adhikari Deepak (Dev),AITC,260891,2014
Madhya Pradesh,Vidisha,Shivraj Singh,BJP,260726,2004
Maharashtra,Mumbai North West,Gajanan Kirtikar,SHS,260328,2019
Madhya Pradesh,Dewas,Manohar Untwal,BJP,260313,2014
Uttar Pradesh,Hathras,Rajvir Diler,BJP,260208,2019
Tamil Nadu,Kanniyakumari,H. Vasanthakumar,INC,259933,2019
Uttar Pradesh,Azamgarh,Shree Akhilesh Yadav,SP,259874,2019
Madhya Pradesh,Khandwa,Nandkumar Singh Chouhan (Nandu Bhaiya),BJP,259714,2014
Maharashtra,Pandharpur,Athawale Ramdas Bandu,IND,259505,1999
Uttarakhand,Hardwar,Dr. Ramesh Pokhriyal,BJP,258729,2019
Bihar,Sasaram,Mira Kumar,INC,258262,2004
Karnataka,Bijapur,Jigajinagi Ramesh Chandappa,BJP,258038,2019
Madhya Pradesh,Khargone,Subhash Patel,BJP,257879,2014
Jammu & Kashmir,Jammu,Jugal Kishore,BJP,257280,2014
Orissa,Aska,Naveen Patnaik,BJD,256736,1999
Delhi,New Delhi,Smt. Minakshi Lekhi,BJP,256504,2019
Bihar,Nalanda,Kaushalendra Kumar,JD(U),256137,2019
Uttar Pradesh,Pilibhit,Feroze Varun Gandhi,BJP,255627,2019
Telangana,Secunderabad,Bandaru Dattatreya,BJP,254735,2014
Gujarat,Kutch,Chavda Vinod Lakhamashi,BJP,254482,2014
Tamil Nadu,Madras North,Kuppusami. C,DMK,253539,2004
Maharashtra,Latur,Dr. Sunil Baliram Gaikwad,BJP,253395,2014
West Bengal,Darjeeling,Jaswant Singh,BJP,253289,2009
Orissa,Bhubaneswar,Dr. (Prof.) Prasanna Kumar Patasani,BJD,252760,2009
Bihar,Purnia,Rajesh Ranjan,IND,252566,1999
Maharashtra,Bhandara-Gondiya,Praful Manoharbhai Patel,NCP,251915,2009
Bihar,Samastipur (Sc),Ramchandra Paswan,LJP,251643,2019
Maharashtra,Kalyan,Dr.Shrikant Eknath Shinde,SHS,250749,2014
Bihar,Sitamarhi,Sunil Kumar Pintu,JD(U),250539,2019
Andhra Pradesh,Nandyal,POCHA BRAHMANANDA REDDY,YSRCP,250119,2019
Uttar Pradesh,Deoria,Ramapati Ram Tripathi,BJP,249931,2019
Madhya Pradesh,Guna,Jyotiraditya Madhavrao Scindia,INC,249737,2009
Gujarat,Surat,Kashiram Rana,BJP,249197,1999
Uttar Pradesh,Hamirpur,Kunwar Pushpendra,BJP,248652,2019
Bihar,Khagaria,Choudhary Mehboob Ali Kaiser,LJP,248570,2019
Tripura,Tripura West,Khagen Das,CPM,248549,2009
Jharkhand,Giridih,Chandra Prakash Choudhary,Others,248347,2019
Maharashtra,Dindori,Chavan Harishchandra Deoram,BJP,247619,2014
Madhya Pradesh,Khajuraho,Nagendra Singh,BJP,247490,2014
West Bengal,Howrah,Swadesh Chakrabortty,CPM,246937,2004
West Bengal,Tamluk,Adhikari Suvendu,AITC,246481,2014
Gujarat,Rajkot,Kundariya Mohanbhai Kalyanjibhai,BJP,246428,2014
Rajasthan,Bhilwara,Subhash Baheria,BJP,246264,2014
West Bengal,Jangipur,Khalilur Rehman,AITC,245782,2019
Rajasthan,Bharatpur,Bahadur Singh,BJP,245468,2014
West Bengal,Alipurduars,john barla,BJP,243989,2019
Tamil Nadu,Arani,V.Elumalai,AIADMK,243844,2014
Assam,Tezpur,Pallab Lochan Das,BJP,242841,2019
Madhya Pradesh,Balaghat,Shri Dhal Singh Bisen,BJP,242066,2019
Madhya Pradesh,Shahdol,Dalpat Singh Paraste,BJP,241301,2014
Bihar,Ranchi,Ram Tahal Choudhary,BJP,241177,1999
Delhi,East Delhi,Sandeep Dikshit,INC,241053,2009
Bihar,Jamui (Sc),Chirag Kumar Paswan,LJP,241049,2019
Tamil Nadu,Arakkonam,"Hari, G.",AIADMK,240766,2014
Uttar Pradesh,Bareilly,Santosh Kumar Gangwar,BJP,240685,2014
Uttar Pradesh,Maharajganj,Pankaj,BJP,240458,2014
Tamil Nadu,Madras South,"Baalu, T.R.",DMK,240184,1999
Uttar Pradesh,Pilibhit,Maneka Gandhi,IND,239855,1999
Assam,Autonomous District,Shri Horen singh,BJP,239626,2019
Maharashtra,Palghar,Adv. Chintaman Navasha Wanga,BJP,239520,2014
Maharashtra,Sangli,Sanjaykaka Patil,BJP,239292,2014
Rajasthan,Sikar,Sumedhanand Saraswati,BJP,239196,2014
Bihar,Hajipur,Ram Vilas Paswan,LJNSP,237801,2004
Orissa,Balasore,Mahamegha Bahan Aira Kharbela Swain,BJP,236955,2004
Maharashtra,Gadchiroli-Chimur,Ashok Mahadeorao Nete,BJP,236870,2014
Uttar Pradesh,Kairana,Hukum Singh,BJP,236828,2014
Gujarat,Jamnagar,Mrs. Punamben Madam,BJP,236804,2019
Rajasthan,Udaipur,Arjunlal Meena,BJP,236762,2014
Tamil Nadu,Nilgiris,Prabhu R.,INC,236502,2004
Orissa,Cuttack,Bhartruhari Mahtab,BJD,236292,2009
Maharashtra,Chandrapur,Ahir Hansraj Gangaram,BJP,236269,2014
West Bengal,Bolpur,Anupam Hazra,AITC,236112,2014
Chhattisgarh,Rajnandgaon,Abhishek Singh,BJP,235911,2014
Uttar Pradesh,Shahjahanpur,Krishna Raj,BJP,235529,2014
