State,Constituency Name,Candidate,Party,Votes Margin,Year
Andhra Pradesh,Secunderabad,M. Anjan Kumar Yadav,INC,68758,2004
Mizoram,Mizoram,Vanlalzawma,IND,68659,1999
Arunachal Pradesh,Arunachal East,Ninong Ering,INC,68449,2009
Uttar Pradesh,Hathras,Kishan Lal Diler,BJP,68407,1999
Haryana,Faridabad,Avtar Singh Bhadana,INC,68201,2009
Assam,Barpeta,A. F. Golam Osmani,INC,68125,2004
Tamil Nadu,Perambalur,Raja. A.,DMK,68051,1999
Madhya Pradesh,Ujjain,Dr. Satyanarayan Jatiya,BJP,68038,1999
West Bengal,Uluberia,Hannan Mollah,CPM,67577,1999
Gujarat,Anand,Bharatsinh Madhavsinh Solanki,INC,67318,2009
West Bengal,Birbhum,Satabdi Roy,AITC,67263,2014
Punjab,Anandpur Sahib,Ravneet Singh,INC,67204,2009
Assam,Kaliabor,Dip Gogoi,INC,67198,2004
Bihar,Khagaria,Rabindra Ku. Rana,RJD,67123,2004
Assam,Dibrugarh,Paban Singh Ghatowar,INC,67116,1999
Andhra Pradesh,Nagarkurnool,Dr.Manda Jagannath,TDP,66900,1999
West Bengal,Jadavpur,Krishna Bose,AITC,66765,1999
Andhra Pradesh,Visakhapatnam,Smt. Daggubati Purandeswari,INC,66686,2009
Himachal Pradesh,Mandi,Pratibha Singh,INC,66566,2004
Bihar,Aurangabad,Sushil Kumar Singh,BJP,66347,2014
Orissa,Keonjhar,Chandrani Murmu,BJD,66203,2019
Orissa,Mayurbhanj,Laxman Tudu,BJD,66178,2009
Uttar Pradesh,Bulandshahr,Kamlesh Balmiki,SP,66065,2009
Karnataka,Bangalore South,Ananth Kumar,BJP,66054,1999
Chhattisgarh,Raigarh,Smt. Gomtee Sai,BJP,66027,2019
West Bengal,Maldaha Uttar,Mausam Noor,INC,65705,2014
Madhya Pradesh,Rajgarh,Laxman Singh,INC,65693,1999
Tamil Nadu,Kanniyakumari,Smt. Davidson J. Helen,DMK,65687,2009
Uttar Pradesh,Faizabad,Lallu Singh,BJP,65477,2019
Maharashtra,Parbhani,Ganeshrao Nagorao Dudhgaonkar,SHS,65418,2009
Jammu & Kashmir,Anantnag,Mehbooba Mufti,JKPDP,65417,2014
Bihar,Bagaha,Kailash Baitha,JD(U),65375,2004
Rajasthan,Jhunjhunu,Sis Ram Ola,INC,65332,2009
Kerala,Calicut,M. P. Veerendra Kumar,JD(S),65326,2004
Rajasthan,Dausa,Rama Pilot,INC,65264,1999
Madhya Pradesh,Bhopal,Kailash Joshi,BJP,65157,2009
Uttar Pradesh,Saharanpur,Raghav Lakhanpal,BJP,65090,2014
Madhya Pradesh,Mandla,Basori Singh Masram,INC,65053,2009
Madhya Pradesh,Mandla,Faggan Singh Kulaste,BJP,64897,2004
Maharashtra,Akola,Sanjay Shamrao Dhotre,BJP,64848,2009
Jammu And Kashmir,Baramulla,Sharifuddin Shariq,J&KNC,64814,2009
Uttar Pradesh,Maharajganj,Pankaj,BJP,64799,2004
Uttar Pradesh,Khalilabad,Bhishma Shanker Alias Kushal Tiwari,BSP,64632,2004
Madhya Pradesh,Betul,"Vijay Kumar Khandelwal "" Munni Bhaiya""",BJP,64472,1999
Uttar Pradesh,Etawah,,BJP,64437,2019
Kerala,Kasaragod,P. Karunakaran,CPM,64427,2009
Andhra Pradesh,Narsapuram,Chegondi Venkata Harirama Jogaiah,INC,64412,2004
Uttar Pradesh,Phulpur,Atique Ahamad,SP,64347,2004
Tamil Nadu,Pudukkottai,Thirunavukarasu,MDMK,64302,1999
Madhya Pradesh,Rewa,Sunder Lal Tiwari,INC,64151,1999
Meghalaya,Tura,Agatha K.Sangma,NPP,64030,2019
Orissa,Bargarh,Shri Suresh Pujari,BJP,63939,2019
Karnataka,Tumkur,G.S.Basavaraj,INC,63937,1999
Madhya Pradesh,Chhindwara,Kamalnath,INC,63708,2004
Bihar,Siwan,Om Prakash Yadav,IND,63430,2009
Gujarat,Anand,Dilip Patel,BJP,63426,2014
Maharashtra,Dahanu,Shingada Damodar Barku,INC,63363,2004
Bihar,Sasaram,Chhedi Paswan,BJP,63327,2014
Uttar Pradesh,Amroha,Kunwar Danish Ali,BSP,63248,2019
Rajasthan,Pali,Pusp Jain,BJP,63238,2004
West Bengal,Krishnanagar,Mahua Motira,AITC,63218,2019
Uttar Pradesh,Azamgarh,Mulayam Singh Yadav,SP,63204,2014
Uttar Pradesh,Lalganj,Neelam Sonkar,BJP,63086,2014
Uttar Pradesh,Baghpat,Ajit Singh,RLD,63027,2009
West Bengal,Balurghat,Barman Ranen,RSP,62921,1999
Punjab,Bathinda,Paramjit Kaur Gulshan,SAD,62642,2004
Bihar,Madhubani,Hukumdeo Narayan Yadav,BJP,62615,1999
Uttar Pradesh,Farrukhabad,Chandra Bhushan Singh (Munnoo Babu),SP,62562,1999
Bihar,Gaya,Hari Manjhi,BJP,62453,2009
Karnataka,Bangalore South,Ananth Kumar,BJP,62271,2004
Maharashtra,Dahanu,Adv Chintaman Wanaga,BJP,62270,1999
Andhra Pradesh,Eluru,Bolla Bulli Ramaiah,TDP,62231,1999
Madhya Pradesh,Morena,Ashok Chhaviram Argal,BJP,62226,1999
Andhra Pradesh,Chittoor,D.K. Audikesavulu,TDP,62138,2004
Telangana,Secundrabad,Shri G. Kishan Reddy,BJP,62114,2019
Bihar,Rajmahal,Thomas Hansda,INC,62099,1999
Punjab,Faridkot,Smt. Paramjit Kaur Gulshan,SAD,62042,2009
Uttar Pradesh,Allahabad,Shyama Charan Gupta,BJP,62009,2014
Uttar Pradesh,Bulandshahr,Chhatra Pal,BJP,61929,1999
Rajasthan,Tonk,Kailash Meghwal,BJP,61902,1999
Maharashtra,Amravati,Anandrao Adsul,SHS,61716,2009
West Bengal,Birbhum,Smt. Satabdi Roy,AITC,61519,2009
Chhattisgarh,Durg,Tarachand Sahu,BJP,61468,2004
Madhya Pradesh,Surguja,Khel Sai Singh,INC,61426,1999
Maharashtra,Jalna,Danve Raosaheb Dadarao Patil,BJP,61332,2004
Punjab,Bathinda,Bhan Singh Bhaura,CPI,61317,1999
West Bengal,Jangipur,Abul Hasnat Khan,CPM,61317,1999
Andhra Pradesh,Anantapur,J.C. Divakar Reddi,TDP,61269,2014
Assam,Gauhati,Kirip Chaliha,INC,61151,2004
Gujarat,Anand,Solanki Bharatsinh Madhavsinh,INC,61085,2004
Jammu & Kashmir,Udhampur,Dr. Jitendra Singh,BJP,60976,2014
Orissa,Puri,Braja Kishore Tripathy,BJD,60960,2004
Uttar Pradesh,Ghosi,Dara Singh Chauhan,BSP,60945,2009
Maharashtra,Washim,Gawali (Patil) Ku. Bhavana Pundlikrao,SHS,60898,2004
Puducherry,Puducherry,R. Radhakrishnan,AINRC,60854,2014
Andhra Pradesh,Hyderabad,Sultan Salahuddin Owaisi,AIMIM,60821,1999
Arunachal Pradesh,Arunachal West,Jarbom Gamlin,INC,60723,1999
Bihar,Muzaffarpur,Captain Jai Na. Pd. Nishad,JD(U),60720,1999
Jharkhand,Godda,Nishikant Dubey,BJP,60682,2014
Rajasthan,Bhilwara,Vijayendrapal Singh,BJP,60652,2004
West Bengal,Raiganj,Smt. Deboshree Chaudhary,BJP,60574,2019
Andhra Pradesh,Vizianagaram,"Dr. Jhansi Lakshmi Botcha ,",INC,60571,2009
Madhya Pradesh,Sagar,Virendra Kumar,BJP,60473,1999
Bihar,Ujiarpur,Nityanand Rai,BJP,60469,2014
Bihar,Chapra,Lalu Prasad,RJD,60423,2004
Andhra Pradesh,Nizamabad,Madhu Goud Yaskhi,INC,60390,2009
West Bengal,Basirhat,Sk. Nurul Islam,AITC,60383,2009
West Bengal,Maldaha Uttar,Smt. Mausam Noor,INC,60141,2009
Andhra Pradesh,Machilipatnam,BALASHOWRY VALLABHANENI,YSRCP,60141,2019
Andhra Pradesh,Rajahmundry,Satyanarayana Rao S.B.P.B.K,BJP,60031,1999
Karnataka,Chikkaballapur,R.L. Jalappa,INC,60022,2004
Maharashtra,Buldhana,Adsul Anandrao Vithoba,SHS,59907,2004
Assam,Autonomous District,Dr Jayanta Rongpi,CPI(ML)(L),59875,1999
Maharashtra,Chandrapur,Ahir Hansraj Gangaram,BJP,59823,2004
Uttar Pradesh,Nagina,Yashvir Singh,SP,59688,2009
Bihar,Supaul,Ranjeet Ranjan,INC,59672,2014
Tamil Nadu,Tiruchendur,"Jayaseelan, A.D.K.",DMK,59666,1999
Karnataka,Bangalore North,Chandre D.B. Gowda,BJP,59665,2009
Uttar Pradesh,Bareilly,Santosh Kumar Gangwar,BJP,59644,2004
Rajasthan,Bayana,Ramswaroop Koli,BJP,59624,2004
West Bengal,Bardhaman Purba,Dr. Anup Kumar Saha,CPM,59419,2009
Tamil Nadu,Vellore,"Senguttuvan, B.",AIADMK,59393,2014
Tamil Nadu,Vandavasi,"Durai, M.",PMK,59197,1999
Uttar Pradesh,Gonda,Braj Bhushan Sharan Singh,BJP,59197,1999
Jharkhand,Singhbhum,Bagun Sumbrai,INC,59196,2004
West Bengal,Contai,Prasanta Pradhan,CPM,59190,2004
Chhattisgarh,Sarangarh,Guharam Ajgalle,BJP,59118,2004
Maharashtra,Osmanabad,Kamble Shivaji Vithalrao,SHS,59073,1999
Gujarat,Bardoli,Dr. Tushar Amarsinh Chaudhary,INC,58985,2009
Chandigarh,Chandigarh,Pawan Kumar Bansal,INC,58967,2009
Uttar Pradesh,Banda,R. K. Singh Patel,BJP,58938,2019
Rajasthan,Sawai Madhopur,Jaskaur,BJP,58881,1999
Bihar,Bikramganj,Ajit Kumar Singh,JD(U),58801,2004
Telangana,Adilabad,Shri Soyam Babu Rao,BJP,58560,2019
Gujarat,Dahod,Dr. (Smt.) Prabha Kishor Taviadi,INC,58536,2009
Rajasthan,Tonk,Kailash Meghwal,BJP,58512,2004
Maharashtra,Shirur,Dr. Amol Ramsing Kolhe,NCP,58483,2019
Andhra Pradesh,Anakapalli,Ganta Srinivasa Rao,TDP,58464,1999
Bihar,Begusarai,Bhola Singh,BJP,58335,2014
Jharkhand,Dhanbad,Pashupati Nath Singh,BJP,58047,2009
Rajasthan,Alwar,Dr. Jaswant Singh Yadav,BJP,57928,1999
Madhya Pradesh,Ratlam,Kantilal Bhuria,INC,57668,2009
Kerala,Alappuzha,K. C. Venugopal,INC,57635,2009
Uttar Pradesh,Faizabad,Vinay Katiyar,BJP,57562,1999
Karnataka,Gulbarga,Iqbal Ahmed Saradgi,INC,57471,2004
Uttar Pradesh,Varanasi,Dr. Rajesh Kumar Mishra,INC,57436,2004
West Bengal,Tamluk,Seth Lakshman Chandra,CPM,57380,2004
Uttar Pradesh,Agra,Raj Babbar,SP,57342,2004
Orissa,Berhampur,Sidhant Mohapatra,BJD,57287,2009
Orissa,Jagatsinghpur,Brahmananda Panda,BJD,57262,2004
Andhra Pradesh,Kakinada,Mallipudi Mangapati Pallam Raju,INC,57252,2004
Bihar,Katihar,Dulal Chandra Goswami,JD(U),57203,2019
Rajasthan,Bikaner,Dharmendra,BJP,57175,2004
Maharashtra,Khed,Ashok Namdeorao Mohol,NCP,57018,1999
Maharashtra,Yavatmal-Washim,Ms. Bhavana Gawali (Patil),SHS,56951,2009
Gujarat,Mandvi,Patel Mansinhbhai Kalyanji,BJP,56831,1999
Maharashtra,Yavatmal,Rathod Harising Nasaru,BJP,56804,2004
Gujarat,Kaira,Dinsha Patel,INC,56749,2004
Punjab,Tarn Taran,Dr. Rattan Singh Ajnala,SAD,56394,2004
Orissa,Kalahandi,Arka Keshari Deo,BJD,56347,2014
Uttar Pradesh,Banda,Shyama Charan Gupt,SP,56304,2004
West Bengal,Jadavpur,Kabir Suman,AITC,56267,2009
Goa,Panaji,Shripad Yesso Naik,BJP,56213,2004
Bihar,Madhepura,Rajesh Ranjan (Pappu Yadav),RJD,56209,2014
Kerala,Vatakara,Ramachandran Mullappally,INC,56186,2009
Maharashtra,Parbhani,Tukaram Ganpatrao Renge Patil,SHS,56171,2004
Andhra Pradesh,Nalgonda,Suravaram Sudhakar Reddy,CPI,56151,2004
West Bengal,Barrackpore,Dinesh Trivedi,AITC,56024,2009
Bihar,Nawada,Virchandra Paswan,RJD,56006,2004
Andhra Pradesh,Adilabad,Allola Indrakaran Reddy,INC,55970,2004
Maharashtra,Aurangabad,Chandrakant Khaire,SHS,55889,1999
Assam,Mangaldoi,Ramen Deka,BJP,55849,2009
Bihar,Bhagalpur,Syed Shahnawaz Hussain,BJP,55811,2009
Uttar Pradesh,Kaushambi,Shailendra Kumar,SP,55789,2009
Karnataka,Bellary,Y. Devendrappa,BJP,55707,2019
Uttar Pradesh,Ballia,Chandra Shekhar,SJP(R),55675,1999
Haryana,Bhiwani-Mahendragarh,Smt. Shruti Choudhry,INC,55577,2009
Bihar,Darbhanga,Kirti Azad,BJP,55548,1999
Madhya Pradesh,Mandsaur,Dr. Lakshaminarayan Pandey,BJP,55485,1999
Bihar,Jhanjharpur,Birendra Kumar Chaudhary,BJP,55408,2014
Uttar Pradesh,Machhlishahr,Umakant Yadav,BSP,55382,2004
Karnataka,Chikkodi,Ramesh Vishwanath Katti,BJP,55287,2009
Uttar Pradesh,Barabanki,Ram Sagar,SP,55278,1999
Jharkhand,Palamu,Manoj Kumar,RJD,55144,2004
Uttar Pradesh,Amethi,Smriti Irani,BJP,55120,2019
Bihar,Chatra,Nagmani,RJD,55099,1999
Orissa,Bhadrak,Arjun Charan Sethi,BJD,54938,2009
Bihar,Buxar,Lalmuni Chaubey,BJP,54866,2004
West Bengal,Tamluk,Lakshman Chandra Seth,CPM,54826,1999
Uttar Pradesh,Firozabad,Ram Ji Lal Suman,SP,54788,2004
Bihar,Bagaha,Mahendra Baitha,JD(U),54751,1999
Rajasthan,Sikar,Subhash Meharia,BJP,54683,2004
Kerala,Trivandrum,P. K. Vasudevan Nair,CPI,54603,2004
Kerala,Adoor,Chengara Surendran,CPI,54534,2004
Assam,Lakhimpur,Ranee Narah,INC,54523,1999
Chhattisgarh,Bastar,Baliram Kashyap,BJP,54373,2004
Tamil Nadu,Dindigul,N.S.V. Chitthan,INC,54347,2009
Uttar Pradesh,Robertsganj,Pakauri Lal,AD,54336,2019
Uttar Pradesh,Azamgarh,Akbar Ahamad Dampi,BSP,54252,2004
West Bengal,Cooch Behar,Shri Nisith Pramanik,BJP,54231,2019
Uttar Pradesh,Faizabad,Dr. Nirmal Khatri,INC,54228,2009
Punjab,Fatehgarh Sahib,Harinder Singh Khalsa,AAP,54144,2014
Orissa,Berhampur,Anadicharan Sahu,BJP,54123,1999
Rajasthan,Udaipur,Girija Vyas,INC,54091,1999
Tamil Nadu,Coimbatore,"Radhakrishnan, C.P.",BJP,54077,1999
Andhra Pradesh,Bhadrachalam,Midiyam Babu Rao,CPM,53806,2004
Gujarat,Godhra,Solanki Bhupendrasinh Prabhatsinh,BJP,53719,2004
West Bengal,Joynagar,Dr. Tarun Mandal,IND,53705,2009
Madhya Pradesh,Bhind,Dr. Ramlakhan Singh,BJP,53574,1999
Uttar Pradesh,Akbarpur,Mayawati,BSP,53386,1999
West Bengal,Dum Dum,Sougata Roy,AITC,53002,2019
Gujarat,Ahmedabad,Harin Pathak,BJP,52968,1999
Uttarakhand,Tehri Garhwal,Vijay Bahuguna,INC,52939,2009
Andhra Pradesh,Anakapalli,Sabbam Hari,INC,52912,2009
Uttar Pradesh,Domariyaganj,Mohd. Muqueem,BSP,52902,2004
Karnataka,Shimoga,Raghavendra Yeddyurappa,BJP,52893,2009
Uttar Pradesh,Varanasi,Shankar Prasad Jaiswal,BJP,52859,1999
Rajasthan,Jhalawar-Baran,Dushyant Singh,BJP,52841,2009
Uttar Pradesh,Bansgaon,Kamlesh Paswan,BJP,52787,2009
Uttar Pradesh,Balrampur,Brij Bhushan Sharan Singh,BJP,52613,2004
Karnataka,Kanakapura,H.D.Devegowda,JD(S),52576,1999
Uttar Pradesh,Fatehpur,Mahendra Prasad Nishad,BSP,52568,2004
Uttar Pradesh,Etah,Kr. Devendra Singh Yadav,SP,52524,1999
Kerala,Mukundapuram,K. Karunakaran,INC,52463,1999
Rajasthan,Salumber,Bheru Lal Meena,INC,52408,1999
Rajasthan,Jaipur Rural,Lalchand Kataria,INC,52237,2009
Uttar Pradesh,Fatehpur,Rakesh Sachan,SP,52228,2009
Uttar Pradesh,Deoria,Mohan Singh,SP,52226,2004
Andhra Pradesh,Miryalguda,Jaipal Reddy Sudini,INC,52077,1999
Bihar,Saran,Lalu Prasad,RJD,51815,2009
Madhya Pradesh,Sarangarh,P. R. Khute,BJP,51759,1999
West Bengal,Mathurapur,Radhika Ranjan Pramanik,CPM,51725,1999
Orissa,Berhampur,Chandra Sekhar Sahu,INC,51657,2004
Chhattisgarh,Rajnandgaon,Dev Wrat Singh,INC,51614,2004
Uttar Pradesh,Kaiserganj,Beni Prasad Verma,SP,51559,1999
Chhattisgarh,Mahasamund,Chandu Lal Sahu,BJP,51475,2009
Orissa,Jajpur,Mohan Jena,BJD,51466,2004
Karnataka,Chikkaballapur,Dr.(Shri) M. Veerappa Moily,INC,51381,2009
Uttar Pradesh,Etah,Ku. Devendra Singh Yadav,SP,51335,2004
Uttar Pradesh,Budaun,Saleem Iqbal Shervani,SP,51322,2004
Assam,Jorhat,Bijoy Krishna Handique,INC,51292,2004
Jharkhand,Khunti,Sushila Kerketta,INC,51226,2004
Maharashtra,Beed,Jaysingrao Gaikwad Patil,BJP,51190,1999
Uttar Pradesh,Sitapur,Rajesh Verma,BJP,51027,2014
Uttarakhand,Garhwal,Maj. Gen. ( Retd) Bhuwan Chandra Khanduri (Avsm),BJP,50962,2004
Andhra Pradesh,Mahabubnagar,A.P.Jitender Reddy,BJP,50895,1999
Kerala,Chirayinkil,Varkala Radhakrishnan,CPM,50745,2004
Goa,Mormugao,Alemao Churchil Braz,INC,50524,2004
Kerala,Calicut,K. Muraleedharan,INC,50402,1999
Andhra Pradesh,Machilipatnam,Badiga Ramakrishna,INC,50341,2004
Uttar Pradesh,Robertsganj,Pakauri Lal,SP,50259,2009
Andhra Pradesh,Karimnagar,Ponnam Prabhakar,INC,50243,2009
Karnataka,Belgaum,Amarsinh Vasantarao Patil,INC,49898,1999
Rajasthan,Jalore,Devji Mansingram Patel,BJP,49805,2009
Madhya Pradesh,Sidhi,Chandrapratap Singh,BJP,49565,2004
Tamil Nadu,Erode,A. Ganeshamurthi,MDMK,49336,2009
Manipur,Inner Manipur,Dr. Thokchom Meinya,INC,49333,2004
Orissa,Keonjhar,Ananta Nayak,BJP,49209,2004
Uttarakhand,Nainital,K. C. Singh Baba,INC,49184,2004
Uttar Pradesh,Moradabad,Mohammed Azharuddin,INC,49107,2009
Madhya Pradesh,Khandwa,Arun Subhashchandra Yadav,INC,49081,2009
Uttar Pradesh,Azamgarh,Ramakant Yadav,BJP,49039,2009
Maharashtra,Thane,Dr. Sanjeev Ganesh Naik,NCP,49020,2009
Andhra Pradesh,Peddapalli,Dr. Gaddam Vivekanand,INC,49017,2009
Punjab,Hoshiarpur,Sh. Som Prakash,BJP,48530,2019
Jharkhand,Kodarma,"Babu Lal Marandi,",JVM,48520,2009
Rajasthan,Nagaur,Ram Raghunath Choudhary,INC,48469,1999
Maharashtra,Mumbai-North,Govinda,INC,48271,2004
Kerala,Mavelikkara,Suresh Kodikunnil,INC,48048,2009
Andhra Pradesh,Vizianagaram,BELLANA CHANDRA SEKHAR,YSRCP,48036,2019
West Bengal,Medinipur,Prabodh Panda,CPI,48017,2009
Tamil Nadu,Nagapattinam,A.K.S. Vijayan,DMK,47962,2009
Andhra Pradesh,Anakapalli,Muttamsetti Srinivasa Rao (Avanthi),TDP,47932,2014
Andhra Pradesh,Mahabubnagar,D. Vittal Rao,INC,47907,2004
Karnataka,Kolar,K.H.Muniyappa,INC,47850,2014
Bihar,Muzaffarpur,Capt.(Retd.) Jainarain Prasad Nishad,JD(U),47809,2009
Andhra Pradesh,Nagarkurnool,Dr. M. Jagannath,INC,47767,2009
West Bengal,Serampore,Akbor Ali Khandoker,AITC,47764,1999
Kerala,Manjeri,T. K. Hamza,CPM,47743,2004
Uttar Pradesh,Jhansi,Pradeep Kumar Jain Aditya,INC,47670,2009
Jharkhand,Dumka,Shri Sunil Soren,BJP,47590,2019
Arunachal Pradesh,Arunachal West,Khiren Rijiju,BJP,47424,2004
Maharashtra,Kopargaon,E V Alias Balasaheb Vikhe Patil,SHS,47415,1999
Maharashtra,Beed,Jaisingrao Gaikwad Patil,NCP,47412,2004
Bihar,Paschim Champaran,Dr. Sanjay Jaiswal,BJP,47343,2009
Tamil Nadu,Karur,Dr. Munisamy Thambidurai,AIADMK,47254,2009
Jammu And Kashmir,Udhampur,Ch. Lal Singh,INC,47175,2004
Uttar Pradesh,Meerut,Rajendra Agrawal,BJP,47146,2009
Gujarat,Bharuch,Mansukhbhai Vasava,BJP,47140,1999
Chandigarh,Chandigarh,Smt. Kirron Kher,BJP,46970,2019
Himachal Pradesh,Shimla,Lt. Col. Dhani Ram Shandil,HVC,46930,1999
Bihar,Patna,C P Thakur,BJP,46892,1999
Punjab,Anandpur Sahib,Manish Tewari,INC,46884,2019
West Bengal,Panskura,Gita Mukherjee,CPI,46858,1999
Gujarat,Junagadh,Chikhaliya Bhavnaben Devrajbhai,BJP,46848,1999
Rajasthan,Churu,Ram Singh Kaswan,BJP,46809,1999
Maharashtra,Ratnagiri-Sindhudurg,Dr. Nilesh Narayan Rane,INC,46750,2009
Uttar Pradesh,Etawah,Premdas Katheria,SP,46746,2009
Maharashtra,Ahmednagar,Dilip Kumar Mansukhlal Gandhi,BJP,46731,2009
Tamil Nadu,Salem,S. Semmalai,AIADMK,46491,2009
Bihar,Maharajganj,Prabhunath Singh,JD(U),46465,2004
Bihar,Darbhanga,Kirti Jha Azad,BJP,46453,2009
Bihar,Jahanabad,Ganesh Prasad Singh,RJD,46438,2004
Uttar Pradesh,Shahabad,Iliyas Azmi,BSP,46369,2004
Tamil Nadu,Pollachi,K. Sugumar,AIADMK,46025,2009
Kerala,Trichur,C. K. Chandrappan,CPI,45961,2004
Rajasthan,Rajsamand,Gopal Singh Shekhawat,INC,45890,2009
Tamil Nadu,Chennai Central,S.R. Vijayakumar,AIADMK,45841,2014
Tamil Nadu,Periyakulam,"Dhinakaran,",ADMK,45806,1999
Madhya Pradesh,Sidhi,Govind Prasad Mishra,BJP,45740,2009
Karnataka,Udupi Chikmagalur,K.J. Hegde,INC,45724,2009
Bihar,Bhagalpur,Subodh Ray,CPM,45540,1999
Rajasthan,Dausa,Harish Chandra Meena,BJP,45404,2014
Bihar,Vaishali,Raghuvansh Prasad Singh,RJD,45392,1999
Assam,Nawgong,Rajen Gohain,BJP,45380,2009
Chandigarh,Chandigarh,Pawan Kumar Bansal,INC,45248,2004
Chhattisgarh,Raipur,Ramesh Bais,BJP,45217,2009
Maharashtra,Buldhana,Adsul Anandrao Vithoba,SHS,45007,1999
Arunachal Pradesh,Arunachal East,Tapir Gao,BJP,44994,2004
Maharashtra,Kolhapur,Sadashivrao Dadoba Mandlik,IND,44800,2009
Maharashtra,Chandrapur,Balubhau alias Suresh Narayan Dhanorkar,INC,44763,2019
Madhya Pradesh,Rewa,Chandramani Tripathi,BJP,44752,2004
Assam,Lakhimpur,Smt. Ranee Narah,INC,44572,2009
Madhya Pradesh,Durg,Tara Chand Sahu,BJP,44518,1999
Gujarat,Bulsar,Kishanbhai Vestabhai Patel,INC,44486,2004
Madhya Pradesh,Hoshangabad,Sundar Lal Patwa,BJP,44447,1999
Andhra Pradesh,Chittoor,Naramalli Sivaprasad,TDP,44138,2014
Andhra Pradesh,Kurnool,Butta Renuka,YSRCP,44131,2014
Karnataka,Chamarajanagar,M. Shivanna,JD(S),43989,2004
Maharashtra,Parbhani,Jadhav Suresh Ramrao,SHS,43665,1999
Karnataka,Koppal,K. Virupaxappa,INC,43623,2004
Uttar Pradesh,Bhadohi,Ramesh Chand,BJP,43615,2019
Bihar,Chapra,Rajiv Pratap Rudi,BJP,43553,1999
Karnataka,Chikkodi,Jigajinagi Ramesh Chandappa,BJP,43492,2004
Orissa,Koraput,Giridhar Gamang,INC,43267,2004
Kerala,Kannur,Kumbakudi Sudhakaran,INC,43151,2009
Maharashtra,Kolaba,Ramsheth Thakur,PWPI,43097,1999
West Bengal,Calcutta North West,Sudhangshu Seal,CPM,43004,2004
Bihar,Sasaram,Smt. Meira Kumar,INC,42954,2009
Kerala,Kottayam,K. Suresh Kurup,CPM,42914,2004
Uttar Pradesh,Kaushambi,Vinod Kumar Sonkar,BJP,42847,2014
Andhra Pradesh,Eluru,Dr. Kavuri Samba Siva Rao,INC,42783,2009
Uttar Pradesh,Lalganj,Daroga Prasad Saroj,SP,42731,2004
Rajasthan,Jodhpur,Jaswant Singh Bishnoi,BJP,42495,2004
Bihar,Gopalganj,Purnmasi Ram,JD(U),42472,2009
Karnataka,Bijapur,Ramesh Chandappa Jigajinagi,BJP,42404,2009
Uttar Pradesh,Hapur,Surendra Prakash Goyal,INC,42363,2004
Assam,Barpeta,Siraj Uddin Ajmal,AUDF,42341,2014
Bihar,Jahanabad,Dr. Arun Kumar,RLSP,42340,2014
Jammu & Kashmir,Srinagar,Tariq Hameed Karra,JKPDP,42280,2014
Assam,Karimganj,Nepal Chandra Das,INC,42259,1999
Maharashtra,Parbhani,Jadhav Sanjay Haribhau,SHS,42199,2019
Uttar Pradesh,Deoria,Shri Prakash Mani,BJP,42141,1999
Uttar Pradesh,Shahabad,Daud Ahmad,BSP,42132,1999
Uttar Pradesh,Shravasti,"Dr. Vinay Kumar ""Vinnu"" Pandey",INC,42029,2009
Tamil Nadu,Coimbatore,"Nagarajan, P.",AIADMK,42016,2014
Madhya Pradesh,Tikamgarh,Dr. Virendra Kumar,BJP,41862,2009
Uttar Pradesh,Deoria,Gorakh Prasad Jaiswal,BSP,41779,2009
Sikkim,Sikkim,Prem Das Rai,SDF,41742,2014
Arunachal Pradesh,Arunachal West,Kiren Rijiju,BJP,41738,2014
Uttar Pradesh,Mathura,Ch. Tejvir Singh,BJP,41727,1999
Orissa,Nabarangpur,Ramesh Chandra Manjhi,BJD,41634,2019
Karnataka,Dharwad North,Vijay Sankeshwar,BJP,41602,1999
West Bengal,Calcutta North East,Ajit Kumar Panja,AITC,41574,1999
Andhra Pradesh,Amalapuram,G.V. Harsha Kumar,INC,41485,2004
Assam,Silchar,Kabindra Purkayastha,BJP,41470,2009
Arunachal Pradesh,Arunachal East,Wangcha Rajkumar,INC,41403,1999
Chhattisgarh,Korba,Dr. Charan Das Mahant,INC,41400,2009
Maharashtra,Bhiwandi,Suresh Kashinath Taware,INC,41364,2009
Jharkhand,Rajmahal,Vijay Kumar Hansdak,JMM,41337,2014
Uttar Pradesh,Budaun,Saleem Iqbal Shervani,SP,41314,1999
Uttar Pradesh,Khurja,Ashok Kumar Pradhan,BJP,41150,2004
Bihar,Saran,Rajiv Pratap Rudy,BJP,40948,2014
Gujarat,Junagadh,Barad Jasubhai Dhanabhai,INC,40921,2004
Uttar Pradesh,Lucknow,Lal Ji Tandon,BJP,40901,2009
Punjab,Sangrur,Vijay Inder Singla,INC,40872,2009
Maharashtra,Nandurbar,Manikrao Hodlya Gavit,INC,40843,2009
Bihar,Begusarai,Dr. Monazir Hassan,JD(U),40837,2009
Madhya Pradesh,Balaghat,K. D. Deshmukh,BJP,40819,2009
West Bengal,Barrackpore,Tarit Baran Topdar,CPM,40775,1999
Andhra Pradesh,Nellore,Rajeswaramma Vukkala,TDP,40453,1999
Karnataka,Dakshina Kannada,Nalin Kumar Kateel,BJP,40420,2009
Meghalaya,Shillong,Vincent H. Pala,INC,40379,2014
Andhra Pradesh,Guntur,Yemparala Venkateswararao,TDP,40330,1999
Bihar,Pataliputra,Ram Kripal Yadav,BJP,40322,2014
